Esiliiga, 10th
Etapa Provincial
Grupo Centro Occidente A, 4th
K3 League, 4th
I-League, 11th
Macedonian Second League . 9th
Segunda División, 11st
Paulistão 2ª Divisão, 34th of 36
Amazonense, 1st of 12
Prague Championship
Serbian League East, 4th of 16
North-West Third League, 9th
Ljubljana Regional League, 5th
Thai League 3, 7th of 14 in the Bangkok metropolitan region
Thai League 3, 8th of 13 in the Southern region
Divizia B, 13th of 14
Carioca, 10th
PLSQ-Female, 11th
Division 2 Södra Svealand, 12th
Challenge Trophy, DNQ
Azadegan League Group 2, 12th
U-19 League, Winners
V.League 2, 1st of 12
Cearense, 2nd of 10
First League of FBIH, 11th
Primeira Liga, 5th of 18
Gamma Ethniki, 5th
Jutland Series Group 1, 4th
National 2 Group C, 11th
Mid-Ulster Football League Intermediate A,
5th
NRFL Division 1, 7th of 12
Série B, 5th of 20
NIFL Premiership, 6th
Promotion play-offs, Final
Alagoano 2ª Divisão, 11th of 11
Alagoano 2ª Divisão, 11th of 12
Serie D/H, 11th
NB III, East, 10th
Liga III, Seria II, 9th
I liga, 12th of 18
Super League, 16th of 16
LNH Division 1, 12th of 16
Liga Bet South B, 5th
First League of RS, 16th
Second Division, 6th
relegated from Torneo Argentino A
Sachsenliga, 7th
revalida
Thai League 3, 2nd of 14 in the Bangkok metropolitan region
AF Coimbra, 1st
Liga 2/2nd round (Group X), 4th
Scottish Women's First Division, 6th
Majority Leader
Alagoano, 2nd of 8
Alagoano, 2nd of 9
Serie D/C, 20th
Capixaba, 4th
Regional Preferente – Group 1, 7th
Champions, Fédérale 1
NB II, 15th
Thai League 3, 9th of 14 in the Bangkok metropolitan region
Paulistão A3, 1st of 16
Slovenian Second League, 14th of 16
Paulistão A2, 9th of 16
Liga Națională, 8th of 14
Verbandsliga Hessen-Mitte , 1st
Moçambola, Champions
Série A, 12th of 20
Eredivisie, 17th of 18
South Series, 6th
DPL, 1st of 10
Russian Amateur Football League
A RFG Dobrich East, 3rd
Kazakhstan Premier League, 11th of 12
Segunda División, 18th of 22
Bohemian Football League, 13th
Eredivisie, 4th of 18
Ligue Nationale du Football Amateur, Group East, 3rd
Did not compete
Division 4 Medelpad, 3rd
Gruppenliga Damstadt
Lisbon FA 1st Division, 14th of 20
Oberliga Westfalen, 1st
Eerste Divisie, 8th of 20
Liga II, 1st of 20
Liga 3 Bali, 2nd
National 3 Group J, 1st
(3ª División – Group 14, 2nd – promoted)
Swiss Challenge League, 8th of 10
Andebol 1, 3rd of 16
Speaker Pro Tempore
PASL
Ukrainian First League, 16th of 16
Handball-Bundesliga, 10th of 18
K League 1, 9th of 12
Egyptian Premier League, 12th
FDL, 13th of 20
Men: 3rd
Primera División, 18th
Amapaense, 1st of 8
Kolubara-Mačva Zone League, 1st of 14
Oberliga, 7th
Iraq Division One, 28th of 28
USL League One, 1st of 12
Belgian First Division A, 1st of 18
Ivorian Ligue 2, 9th
Women: 6th
Brasiliense, 1st of 10
V.League 1, 9th of 13
Thai League 3, 10th of 11 in the Western region
Playoffs: Runners-up
Playofffs: DNQ
Serie D/H, 10th
Superliga Femenina, 1st
Eccellenza Umbria, 1st
Liga III, Seria I, 1st
Premier Division, 17th
National 2 Group D, 16th
Primera Nacional Zone A, 7th
Danish Superliga, 9th
K4 League, 2nd of 16, promoted
Group stage,
Liga III, Seria IV, 5th
National 3 Group B, 5th
champions
La Liga, 9th of 20
Serie B: 12th
Danish Superliga, 9th of 12
SDL, 3rd of 28
Regular phase: 8th
25200.0
Armenian First League, 4th
NOFV-Oberliga Nord , 14th
Ligue Professionnelle 1, 13th
Paulistão 2ª Divisão, 32nd of 36
Group B, 10th
Preferente de Galicia – Group 1B, 9th of 13
CFA 2 Group D, 3rd
Kategoria e Parë, 4th
Executive Liaisons
segunda Autonómica – Group 1, -
Regular Season: 3rd, KeystonePlayoffs: did not qualify
Série B, 15th of 20
Liga 1, 11th of 18
Promozione Abruzzo/A, 8th
Overall: 2nd Group B
FNL 2, Group 4, 1st
IWL
Eccellenza Molise, 2nd
V.League 2, 7th of 12
Série A, 20th of 20
@en
División Intermedia, 8th of 18
Autonómica Navarra, 5th
W: División de Honor, 7th
Liga I, 14th of 16
Liga ASOBAL, 10th
National 3 Group F, 1st of 14
Eric Shirley Shield
Paulistão 2ª Divisão, 24th of 36
Paulistão 2ª Divisão, 24th of 35
Semi-finals
Primera Nacional Zone B, 9th
Vodacom League winners
Egyptian Premier League, 9th
Cymru Alliance, 4th
Group B, 12th, relegated
Treća HNL West, 12th
Primera Regional Preferente, 15th
North-West V AFG, 15th /relegated/
South zone
Qatar Stars League, 9th of 12
Primera División de Ascenso, Group C
V.League 3, 7th, group B
Nigeria Professional Football League, 14th of 20
Regionalliga Bayern, 18th
División de Honor – Group 2, 4th of 19
(1ª División Regional),  - Promoted
Overall: 3rd
U-17: Group D, 11th
Play off
Eccellenza Sardinia, 15th
FKF Division One
PFL, 3rd
Liga de Elite, 9th
Serie D/F, 18th
Semi-finals,
Denmark Series Group 4, 8th of 10
Persian Gulf Pro League, 2nd
Higher League 3rd of 12
Slovenian Second League, 6th of 16
Eccellenza Apulia, 3rd
Maltese Futsal League, 1st
First League RS, 12th
Thai League 2, 10th
FNL, 18th
Slovenian Second League, 12th of 16
Division 3 Södra Norrland
Betri deildin, 5th
Relegation
Mineiro, 7th
Division 2 Norra Svealand, 11th
Tercera División Group 3,
Greek A Division, Group 1 5th
Regional Preferente, 6th
Austrian Bundesliga, 5th of 12
Primera Nacional Zone B, 18th
Division 3, 4th of 11
Second League, 14th
Serbian Superliga, 12th of 16
Rondoniense, 5th of 6
Rust Belt Conference: 1st
Playoffs: National Semifinals
Division 2 Östra Götaland, 14th
Série D, 23rd
Littoral League, 2nd
Sul-Mato-Grossense, 2nd of 10
Rondoniense, 5th of 8
Slovenian Second League, 5th of 16
Serbian SuperLiga, 15th of 16
Región Bonaerense Pampeana Sur
U-14: Quarter-finals
Mineiro Módulo II, 1st
I-League, 13th of 13
Portuguese Second Division, 6th
National 2 Group A, 7th
Allsvenskan, 5th of 16
Liga II, 1st
Série C, 2nd of 20
CFA 2, Group A, 14th
First League, 8th of 14
Eliteserien, 9th of 16
Montenegrin First League, 8th
Second League , 3rd
Playoffs: semifinals
Iraqi Premier League, 12th of 20
Campeonato Nacional Feminino, 4th of 8
Premier League BH, 9th
UAE Pro League, 3rd
Division 2 Norrland, 3rd
Ligue 2, Group Centre-east, 13th
CPD, 15th of 16
Liga 3, eliminated in first round of regional stage
Liga IV, Hunedoara County, 2nd
Kantonalna liga Sarajevo, 1st
Liga Națională, 11th
Super League Greece 2, 14th
Division 1 Södra, 6th
1.0
Liga III, Seria VIII, 1st
Sub-20, 3nd of 20
Regional Preferente – Group 5, 3rd
Iraqi Premier League, 5th of 20
Chinese Women's Super League, 5th of 8
Freshman Leaders
Thai League 2, 2nd
Division 2 Västra Götaland, 10th
Playoff: Conference Semifinals
Liga Leumit, 12th
Iraq Division One, 8th of 24
Second League of RS , 6th
Kuwaiti Division One, 5th of 5
Serie D girone G, 17 st
Ligue Nationale du Football Amateur, Group Centre, 14th
Super League Greece 2, 5th
Campeonato Brasileiro Série C, 8th
AMSL, 2nd
MB I, Borsod-Abaúj-Zemplén, 1st
Ligue 2, Group Centre-west, 2nd
GPL, champions
Eccellenza – Basilicata, 1st
Qatari Second Division, 3rd of 8
Nemzeti Bajnokság I, 1st of 14
Nemzeti Bajnokság I, 11th
National Division 1, 9th of 15
Denmark Series, Group 2, 8th
Serie B, 1st
Serbian League East, 6th of 16
Central League, 1st of 10
Serbian First League, 14th of 16
K League 2, 4th of 11
Liga 2, 5th
Mineiro, 2nd of 12
Second League, 5th
Sul-Mato-Grossense,  9th of 11
Slovenian PrvaLiga, 6th of 10
Eerste Divisie, 13th
Runner-up
Division 2 Södra Svealand, 4th
FootballSouth Premier League, 6th of 10
Croatian Second League, 1st
MFL 3, South, 3rd
Group Stage
Round of 32,
I liga, 13th of 18
Oberliga Westfalen, 19th
Paranaense, 9th
Mid-Ulster Football League Intermediate B, 7th
Thai League 3, 12th of 14 in the Bangkok metropolitan region
National 3 Group J, 9th
V.League 2, 6th of 12
Liga Nacional , 2nd of 5
UFL Division 2, Disqualified
League 3, Disqualified
Fifth Division, Hordaland 2, 6th
Montenegrin Second League, 2nd
D2 Féminine Group B, 1
División Intermedia, 7th of 18
Round of 16
Canada Life Premier League, 10th.
Eccellenza Piemonte group A, 3rd
Ligue Haïtienne, 8th
Overall: 27th
Regional Preferente
Ligue A, 1st of 16
North-East V AFG, 8th
Acreano, 4th of 9
Série D, 66th
Eliminated in 3rd. stage
Austrian Bundesliga, 1st of 12
Majority Freshman Leader
Ligue 1, 12th of 14
Rugby-Bundesliga North/East, 3rd
Potiguar, 1st of 8
Digicel Premier League, 11th
Eliteserien, 16th of 16
Lebanese Women's Football League, 4th of 8
M: División de Plata, 1st
Bayernliga Nord, 10th of 18
A RFG Blagoevgrad, 3rd
Primera División, 10th
National First Division, 10th
Ecuadorian Segunda Categoría
Playoffs: Quarter-finals
Ligue Nationale du Football Amateur, Group East, 15th
Intercommunal League, 8th
Eccellenza FVG, 18th
Chinese Jia League, 11th
Division 2 Norra Götaland, 12th
fourth
Serie D/H, 18th
NAFL Premier Division, TBC
Rocky Mountains Conference: 3rd
Semi-Finalist
Iraqi Premier League, 6th of 20
Turkish Regional Amateur League, Area 9, Group 3, 5th
Danish 1st Division, 10th
Division 2 Västra Götaland, 5th
FDL, 12th of 20
Kreisliga Nordwest , 2nd
Preferente – Group 1, 2nd of 20
Campeonato de Portugal Serie E, 3rd
Campeonato de Portugal Serie C, 11th
Liga 2/1st round (Group B), 6th
Playoffs: TBD
Paulistão, 10th of 16
Kowsar Women Football League, 1st
Meistriliiga, 1st
Western Conference: 14th
Overall table: 10th
Iraq Division One, 7th of 24
Armenian Premier League, 4th
Eerste Divisie, 14th of 20
Ýokary Liga, 4th of 8
Copa Perú, Runner-up
Paulistão A3, 15th of 16
Istanbul SAL 2nd Group, 3rd
Preferente Autonómica, 1st
Championnat National, 17th of 18
Second round, 3rd
PFL Pančevo, 1st of 16
Serbian First League, 13th of 16
Regular Season: 4th
III Liiga W, 7th
Promozione Piedmont and Aosta Valley/B 1st
Regular season: 7th
Primera Nacional Zone A, 14th
Ligue 2, Group Centre-west, 1st
Division 4 Blekinge, 1st
Gamma Ethniki  10th relegated
Verbandsliga Hessen-Nord , 14th
Relegation Serie I, 2nd
Austrian Second League, 10th
A Lyga, 2nd
Copa Perú
Azerbaijan Premier League, 4th of 8
Play offs: Lost 0-19 to Hull KR
División de Plata, 6th
West Lancashire League Premier Division, 3rd of 16
Premier Division, 21st
Primera División, 15th of 16
Handball-Bundesliga, 3rd of 18
Promozione Veneto/D, 6th
Swiss Challenge League, 7th of 10
Iraqi Premier League, 13th of 20
(Terceira Autonómica – Group 3), 14th
Thai League 3, 6th of 11 in the Western region
National Amateur League, Group B, 6th
NRFL Division 2, 4th of 10
Liga Alef South, 15th
Championnat de France Amateurs Group C, 18th
Campionato Primavera 1, 13th
Jordan League, 1st of 12
Oberliga Westfalen, 9th
Iraqi Premier League, 2nd
First Division, 17th
Pomurska League, 2nd
Second Division, 10
Regular phase: 12th
Prva HNL, 1st of 10
Lega Pro Seconda Divisione C, 15th
Division One Midlands, 20th
Campionato Nazionale Primavera, 4th
B' Eps Serres 3rd
División Profesional, 16th
K3 League, 5th
K2 League, 2nd
National League 1, 14th
National Amateur League, Group A, 5th
Division 1 Norra, 3rd
Divizia A, 6th of 12
Derde Divisie Sunday, 13th
Primera Nacional Zone B, 1st
Mainland Premier League, 2nd of 8
Liga 1, 12th of 18
Swiss Super League, 2nd of 10
Combined: 5th
Paulistão, 8th of 16
North-West Third League, 8th
Eccellenza
Serie D/G, 10 th
National Division 1, 3rd of 15
Deputy President Pro Tempore
Nemzeti Bajnokság I, 13th of 14
Paulistão A2, 8th of 16
Playoffs: Lost 24–12 to St Helens
Ligue Haïtienne, 15th
Liga Națională, 9th of 14
National 2 Group B, 9th
Premier Division, 16th
Gauchão, 8th of 12
Potiguar, 2nd of 8
KSAFA Major League, 1st
Hoofdklasse Saturday B, 2nd
Liga 3 Bali, 1st
Ykkönen, 2nd
LNH Division 1, 9th of 16
Primeira Liga, 4th of 18
Liga III, Seria III, 9th
Eerste Divisie, 7th of 20
Welsh Football League Division One, 13th
Lost promotion/relegation match
Eredivisie, 5th of 18
Far-left politics
Fortuna Liga, 6th
Primera Nacional Zone B, 10th
Primera División, 9th of 16
Gamma Ethniki, 12th
Egyptian Premier League, 1st
FDL, 7th of 20
Deputy Minority Leader
Inter-Régions Division, Group Centre-west, 1st
Segunda División, 12th
Primera B, 14th of 16
Jutland Series – Group 1, 1st of 8
Primera Andaluza – Group 4, 13th
IV liga Lesser Poland, 8th
National 3 Group A, 11th
Third League , 8th
Eccellenza Piedmont and Aosta Valley/A, 1st
Dhivehi Premier League, 8th of 10
Handball-Bundesliga, 11th of 18
Final phase: Reclassification
Western Conference: 6th
Division 2 Östra Götaland, 4th
NB III, West, 6th
Pro League, 6th of 16
Persian Gulf Pro League, 10th
Second Division, 7th
Série D, 8th of 64
NB I, 3rd of 12
Sul-Mato-Grossense, 10th of 10
Quarter-finals,
Liga 1, 3rd
División de Honor B – Group A, 2nd
Southern League, 7th of 10
Serbian First League, 4th of 16
Primeira Liga, 18th of 18
Serie C, Group A, 20th
Ljubljana Regional League, 4th
LFA First Division, 8th of 12
Active
Third League, 2nd
(Preferente Autonómica – Group Sur), 11th
NB III, East, 1st
Ukrainian Premier League, 8th of 16
Pro D2, 2nd
Northern Conference: 3rd
Inter-Régions Division, Group East, 1st
Liga ASOBAL, 4th
Kazakhstan Premier League, 10th of 14
Thai League 1, 15th
Jutland Series, Group 4, 3rd of 8
23.0
Gamma Ethniki, 6th
Armenian First League, 12th
Division 3 Sydöstra Götaland, 5th
Playoff Conference Semifinals
Derde Divisie Saturday, 9th of 18
Division 4 Småland Elit Östra, 2nd
Goiano, Runners-up
Third Division / 4, 3rd
Ligue 1, 3rd of 14
